date,factor,q1,q2,q3,q4,q5,top_minus_bottom
2015-04-30,value,0.011886241843329138,0.015052581770834789,0.02881930641010399,0.006970531460780261,0.009837093737412123,-0.0020491481059170154
2015-04-30,quality,0.00713585513898986,0.02825741792240219,0.0011579933553705958,0.0340551702258267,0.0019593185798709558,-0.005176536559118905
2015-05-31,value,0.016310573919944754,-0.003777105238583367,-0.005276130149356356,0.024157395679966658,0.026083863083789814,0.00977328916384506
2015-05-31,quality,0.017019256212070254,0.022713373003959297,0.01715974826423804,0.006658986641460312,-0.006052766825966399,-0.023072023038036654
2015-06-30,value,-0.0025889129878412798,0.0160001860031308,0.012112146752893894,-0.011608612459979512,0.002571220038615063,0.005160133026456343
2015-06-30,quality,-0.007490716921570611,0.007580780387975017,0.018530803128643254,0.011367222171301627,-0.01350206141953032,-0.006011344497959708
2015-07-31,value,0.00018581505453099111,0.010093209697525285,0.00521183670036397,0.006073269776509899,0.009579248816965636,0.009393433762434645
2015-07-31,quality,-0.0063906366213879575,0.0002719799685128255,0.015713405270116575,-0.004405266129939972,0.025953897558594306,0.032344534179982266
2015-08-31,value,-0.0006551755027214168,0.001912182105221477,-0.006597905604446619,-0.00115658502498171,0.0013034879633004315,0.001958663466021848
2015-08-31,quality,-0.00634111494273194,0.004219472773891964,-0.004285166769898335,-0.0012047329266783424,0.0024175458017888173,0.008758660744520757
2015-09-30,value,0.011422778918214815,0.021855463931435375,-0.001709302233207144,0.006347833400352753,-0.01036668894258363,-0.021789467860798446
2015-09-30,quality,0.009581604747734212,-0.0018539506598232835,0.003988129274313984,0.01905576262289272,-0.00322146091090546,-0.012803065658639673
2015-10-31,value,0.007334575289792561,0.014729362603391971,0.0035308447839739352,-0.0007914521665179808,-0.0004543712946266487,-0.00778894658441921
2015-10-31,quality,0.00839334837106095,0.014955273511668343,-0.0024071223754060568,0.004126567933035519,-0.0007191082243449165,-0.009112456595405867
2015-11-30,value,0.004657290111269791,0.016261169937867397,-0.00472823881287498,0.004746077142595895,-0.011173527479480843,-0.015830817590750633
2015-11-30,quality,-0.0014122192206598772,0.007463276844094013,0.009825483362258946,0.005346379958082503,-0.011460150044398326,-0.010047930823738449
2015-12-31,value,0.012053663432551931,0.006244890435346745,0.0031959838375575146,-0.001639603453492533,0.00635143429169831,-0.005702229140853621
2015-12-31,quality,-0.009131465521876835,0.006931456578784573,0.010467327740652742,0.010556000980734382,0.007383048765367106,0.01651451428724394
2016-01-31,momentum,-0.017711203979678368,-0.016846028525091778,-0.02956085175955308,-0.011128281915219123,-0.002377932463906429,0.015333271515771938
2016-01-31,value,-0.010461850064968924,0.0026545728297584447,-0.026619343186541085,-0.01881058730787376,-0.024387090913823455,-0.01392524084885453
