date,momentum,value,quality,low_volatility
2015-01-31,,,,
2015-02-28,,,,
2015-03-31,,,,
2015-04-30,,-0.02605460546054605,-0.037959795979597956,
2015-05-31,,0.1655205520552055,-0.1526912691269127,
2015-06-30,,-0.030183018301830178,-0.032607260726072604,
2015-07-31,,0.05462946294629463,0.14325832583258324,
2015-08-31,,-0.036291629162916283,0.024878487848784877,
2015-09-30,,-0.1364176417641764,0.05972997299729973,
2015-10-31,,-0.07024302430243023,-0.027266726672667264,
2015-11-30,,-0.11445544554455445,-0.06761476147614762,
2015-12-31,,-0.017833783378337836,0.0673987398739874,
2016-01-31,0.11425142514251424,-0.13618961896189616,0.03350735073507351,
2016-02-29,-0.14181818181818182,-0.03653165316531653,0.10310231023102309,0.13738973897389736
2016-03-31,-0.08164416441644164,0.08530453045304529,0.07989198919891989,-0.008964896489648964
2016-04-30,0.003072307230723072,-0.02071407140714071,0.042088208820882086,0.06096609660966095
2016-05-31,-0.02653465346534653,0.09788178817881787,0.0694989498949895,0.25291329132913287
2016-06-30,0.11744374437443743,-0.05191719171917192,-0.00822082208220822,0.23548754875487546
2016-07-31,0.06733873387338733,-0.02121812181218122,0.07067506750675066,-0.09069306930693069
2016-08-31,-0.07918391839183916,-0.08262826282628262,0.025814581458145816,-0.02181818181818182
2016-09-30,-0.1303090309030903,0.06087008700870087,-0.0034203420342034194,0.009276927692769277
2016-10-31,0.21148514851485145,-0.005808580858085808,0.10593459345934592,0.027818781878187815
2016-11-30,-0.04566456645664566,0.004932493249324933,-0.026714671467146713,0.0039003900390039005
2016-12-31,-0.02121812181218122,0.07799579957995798,-0.01818181818181818,0.1283288328832883
2017-01-31,-0.18820282028202817,0.12524452445244524,-0.21878187818781875,-0.11059105910591058
2017-02-28,-0.0051965196519651955,0.18523852385238523,0.21216921692169213,0.03864386438643864
2017-03-31,0.14076207620762077,-0.12746474647464745,0.0713111311131113,-0.031179117911791177
2017-04-30,-0.015877587758775877,0.1110951095109511,-0.18994299429942993,0.048460846084608454
2017-05-31,0.03668766876687669,-0.12020402040204017,-0.12686468646864685,0.05242124212421241
2017-06-30,0.2575217521752175,0.11343534353435343,0.14517851785178515,0.05039303930393039
2017-07-31,0.1324212421242124,0.1052145214521452,0.08914491449144914,0.1425982598259826
2017-08-31,0.0806120612061206,-0.16565256525652564,0.14775877587758773,-0.0165016501650165
2017-09-30,-0.009960996099609959,0.1627242724272427,0.0028322832283228317,-0.073999399939994
2017-10-31,-0.12747674767476747,0.018937893789378938,0.14965496549654966,-0.11842784278427841
2017-11-30,0.03633963396339633,-0.020942094209420937,0.13047704770477048,0.08297629762976297
2017-12-31,-0.15025502550255024,0.05689768976897689,0.08928892889288928,0.010945094509450944
2018-01-31,-0.10178217821782176,-0.004848484848484848,0.0021002100210020997,-0.046888688868886884
2018-02-28,0.06677467746774676,-0.035439543954395435,-0.046396639663966385,0.02388238823882388
2018-03-31,-0.016657665766576655,0.0213021302130213,0.08645664566456644,-0.14448244824482448
2018-04-30,-0.09400540054005399,-0.06060606060606061,-0.02772277227722772,-0.08774077407740774
2018-05-31,-0.0014281428142814282,0.03407140714071406,0.2028322832283228,-0.20436843684368436
2018-06-30,-0.028970897089708972,0.18547854785478543,-0.0423042304230423,-0.07687968796879688
2018-07-31,-0.026210621062106206,0.046120612061206115,0.3148394839483948,0.15344734473447344
2018-08-31,0.07431143114311431,0.1813981398139814,0.07241524152415241,0.08932493249324931
2018-09-30,0.028286828682868283,0.04512451245124512,0.2663066306630663,-0.004428442844284428
2018-10-31,0.007644764476447644,0.1381098109810981,0.12218421842184218,-0.014809480948094807
2018-11-30,-0.062046204620462043,0.10149414941494149,0.006624662466246624,0.07123912391239123
2018-12-31,-0.17656165616561656,-0.20168016801680166,0.09803780378037803,0.06196219621962196
2019-01-31,-0.05824182418241824,0.08186018601860186,-0.12704470447044702,-0.027794779477947788
2019-02-28,-0.07764776477647764,-0.027266726672667264,0.031527152715271525,0.2197059705970597
2019-03-31,-0.0973057305730573,-0.001536153615361536,0.04308430843084307,0.03234323432343234
2019-04-30,0.10809480948094809,0.06199819981998199,-0.06095409540954094,0.13858985898589857
2019-05-31,0.17237323732373233,0.06581458145814581,-0.03498349834983498,-0.012469246924692468
2019-06-30,-0.10894689468946893,-0.043276327632763276,0.20116411641164114,0.12897689768976897
2019-07-31,0.004128412841284128,-0.04543654365436543,-0.04332433243324332,-0.04382838283828382
2019-08-31,0.06959495949594958,0.11236723672367234,-0.04636063606360635,-0.08546054605460546
2019-09-30,0.010837083708370835,-0.030939093909390935,0.11303930393039302,-0.09281728172817282
2019-10-31,0.21060906090609058,0.011989198919891988,-0.11929192919291928,-0.03385538553855385
2019-11-30,0.03942394239423942,-0.06394239423942394,-0.21537353735373532,-0.31059105910591056
2019-12-31,0.22389438943894385,0.04832883288328833,-0.05792979297929792,-0.13335733573357333
2020-01-31,0.13176117611761176,0.01252925292529253,0.09924992499249924,-0.024530453045304525
2020-02-29,0.04055205520552055,0.08829282928292828,-0.09570957095709569,0.20576057605760573
2020-03-31,-0.07913591359135913,0.02351035103510351,0.19441944194419442,0.0989138913891389
2020-04-30,0.11149114911491148,0.16715271527152717,-0.10949894989498948,-0.005388538853885388
2020-05-31,0.08338433843384338,0.1683168316831683,-0.04694869486948694,0.10726672667266725
2020-06-30,0.08232823282328232,-0.018157815781578157,0.08932493249324931,-0.04614461446144614
2020-07-31,0.188022802280228,0.0899009900990099,0.04603660366036603,0.0771077107710771
2020-08-31,-0.024014401440144013,0.04238823882388239,0.06436243624362435,-0.06615061506150614
2020-09-30,-0.036279627962796275,0.029198919891989195,0.09413741374137413,0.015085508550855083
2020-10-31,-0.09504950495049504,-0.008832883288328831,0.03282328232823282,0.030951095109510943
2020-11-30,-0.0799039903990399,-0.08844884488448844,0.02627062706270627,-0.1682088208820882
2020-12-31,-0.1986078607860786,-0.14192619261926193,-0.09872187218721871,0.012817281728172817
2021-01-31,-0.10211821182118211,0.173021302130213,0.14595859585958595,0.08765676567656765
2021-02-28,-0.13756975697569754,0.000252025202520252,0.28640864086408635,0.14411041104110411
2021-03-31,-0.009324932493249324,0.09262526252625262,0.18107410741074106,0.06783078307830782
2021-04-30,-0.10970297029702969,0.07042304230423042,-0.010549054905490548,0.039675967596759676
2021-05-31,0.007020702070207019,-0.0049804980498049795,0.08588058805880587,-0.013597359735973594
2021-06-30,-0.07143114311431142,-0.08850885088508849,-0.2123132313231323,0.11588358835883589
2021-07-31,0.17573357335733575,0.01074107410741074,-0.054581458145814575,0.011845184518451844
2021-08-31,0.004764476447644764,0.07555955595559555,0.11650765076507648,-0.09657365736573656
2021-09-30,-0.02215421542154215,0.03541554155415541,0.11649564956495648,-0.05334533453345334
2021-10-31,-0.11252325232523251,-0.09095709570957093,0.036315631563156314,-0.06846684668466846
2021-11-30,0.04174017401740174,-0.061578157815781576,0.15065106510651063,-0.09498949894989499
2021-12-31,0.09724572457245724,0.058613861386138603,-0.04988898889888989,-0.0396039603960396
2022-01-31,0.1891509150915091,-0.039759975997599756,-0.05717371737173717,-0.23649564956495647
