factor,start_date,end_date,observations,annualized_mean,annualized_volatility,sharpe_zero_rf,max_drawdown,positive_month_ratio,newey_west_mean_tstat
market_excess,1990-01-31,2026-05-31,437,0.0902965675057208,0.15243527846834648,0.5923600390474643,-0.5410832597676869,0.6361556064073226,3.611099768439739
size,1990-01-31,2026-05-31,437,0.008663615560640738,0.10551000767015639,0.0821117896960522,-0.4209884985412773,0.4965675057208238,0.5166565290866568
value,1990-01-31,2026-05-31,437,0.01895286041189931,0.11169193395005708,0.16968871199216642,-0.5778632518889473,0.482837528604119,0.8452811245782623
profitability,1990-01-31,2026-05-31,437,0.03702974828375286,0.09128548806509681,0.4056477000741507,-0.41775163976668384,0.5835240274599542,2.2200503688542095
investment,1990-01-31,2026-05-31,437,0.01916430205949657,0.07550225699270438,0.2538242275505535,-0.2721424977783844,0.4919908466819222,1.3903864998371032
momentum,1990-01-31,2026-05-31,437,0.05700411899313501,0.16042010550699837,0.35534273470882477,-0.5784912380604277,0.5995423340961098,2.0574570244007417
