,market_excess,size,value,profitability,investment,momentum
market_excess,1.0,0.227356198002316,-0.12321934453894903,-0.3205234010302036,-0.32971133390268376,-0.2695955120709403
size,0.227356198002316,1.0,0.02959566801641022,-0.41981947812101483,-0.027004133350707754,-0.08078602624948106
value,-0.12321934453894903,0.02959566801641022,1.0,0.3167501128840991,0.6517547596277811,-0.1992898834611677
profitability,-0.3205234010302036,-0.41981947812101483,0.3167501128840991,1.0,0.23851920477535768,0.03872500605915294
investment,-0.32971133390268376,-0.027004133350707754,0.6517547596277811,0.23851920477535768,1.0,0.022765274671962
momentum,-0.2695955120709403,-0.08078602624948106,-0.1992898834611677,0.03872500605915294,0.022765274671962,1.0
