period,start_date,end_date,observations,p10_minus_p01_annualized_mean,p10_minus_p01_annualized_volatility,p10_minus_p01_sharpe_zero_rf,p10_minus_p01_max_drawdown,p10_minus_p01_positive_month_ratio,p10_minus_p01_newey_west_tstat,mean_return_rank_correlation,positive_adjacent_step_ratio
development,1927-01-31,1989-12-31,756,0.15587460317460317,0.2651460760690004,0.5878819912614474,-0.9555828661319571,0.6494708994708994,5.108871927112568,0.9999999999999999,1.0
validation,1990-01-31,2014-12-31,300,0.11602400000000003,0.28403815553195194,0.40848033174524784,-0.8083782230505625,0.6233333333333333,1.887510182216489,0.9272727272727272,0.7777777777777778
holdout,2015-01-31,2026-05-31,137,0.08721459854014602,0.30357118828152757,0.2872953755389475,-0.6457429511694193,0.5620437956204379,1.0502673992421034,0.3696969696969697,0.4444444444444444
